ID,name,city,state,addr,zip,night,beginner,max_price,min_price,intermediate,elev,park,advanced,dates,rating,lfits,area,expert,total_runs,link,avg_snowfall
204,Pats Peak,Henniker,NH,PO Box 2448,3242,TRUE,50,66,0,21,690ft - 1460ft,3,11,12/26-3/27,3.1,11,115,18,28,http://www.onthesnow.com/new-hampshire/pats-peak/ski-resort.html,100
205,Pebble Creek Ski Area,Inkom,ID,P.O. Box 370,83245,TRUE,12,43,3,30,6360ft - 8560ft,2,29,12/22-4/ 3,3.1,3,1100,29,54,http://www.onthesnow.com/idaho/pebble-creek-ski-area/ski-resort.html,250
206,Peek'n Peak,Findley,NY,P.O. Box 360,14736,TRUE,30,57,0,45,1400ft - 1800ft,4,15,12/26-4/12,3.3,10,110,10,27,http://www.onthesnow.com/new-york/peekn-peak/ski-resort.html,225
207,Perfect North Slopes,Lawrenceburg,IN,19074 Perfect Lane,47025,TRUE,20,47,35,50,400ft - 800ft,0,20,12/26-3/15,3.1,11,120,10,23,http://www.onthesnow.com/indiana/perfect-north-slopes/ski-resort.html,24
208,Pico Mountain ,Killington,VT,4763 Killington Road,5751,FALSE,18,N/A,N/A,46,2000ft - 3966ft,0,33,1/ 2-4/ 3,3.5,7,468,3,57,http://www.onthesnow.com/vermont/pico-mountain-at-killington/ski-resort.html,250
209,Pine Knob Ski Resort,Clartkston,MI,7778 Sashabaw Road,48348,FALSE,20,N/A,N/A,20,1008ft - 1307ft,3,40,11/25-3/15,3.1,6,80,20,14,http://www.onthesnow.com/michigan/pine-knob-ski-resort/ski-resort.html,N/A
210,Pine Mountain,Iron Mountain,MI,N3332 Pine Mountain Road,49801,TRUE,20,42,15,55,1150ft - 1650ft,3,25,12/25-4/11,3.4,5,160,0,27,http://www.onthesnow.com/michigan/pine-mountain/ski-resort.html,60
211,Plattekill Mountain,Roxbury,NY,469 Plattekill Mountain Road,12474,FALSE,20,61,30,40,2400ft - 3500ft,1,20,1/ 1-4/17,2.9,4,110,20,38,http://www.onthesnow.com/new-york/plattekill-mountain/ski-resort.html,175
212,Pomerelle Mountain Resort,Albion,ID,P.O. Box 158,83311,TRUE,40,45,0,40,8000ft - 9000ft,2,20,11/26-3/29,2.8,3,500,0,24,http://www.onthesnow.com/idaho/pomerelle-mountain-resort/ski-resort.html,500
213,Powderhorn,Mesa,CO, 48338 Powderhorn Rd,81643,FALSE,15,69,34,15,8200ft - 9850ft,2,50,12/ 4-3/23,3.1,4,1600,20,42,http://www.onthesnow.com/colorado/powderhorn/ski-resort.html,250
