ID,wthr,dscr,temp,pres,humd,spd,rain,snow
84,Rain,moderate rain,39.54,948.26,100,2.59,4.275,0
85,Clouds,scattered clouds,32.02,1012.86,95,3.6,0,0
86,Rain,light rain,35.53,801.29,100,3.49,2.55,0
87,Clouds,broken clouds,44.76,989.76,78,18.25,0,0
88,Clouds,scattered clouds,33.78,803.89,88,8.41,0,0
89,Rain,moderate rain,35.49,801.05,100,2.59,8.21,0
90,Rain,light rain,42.1,935.85,100,7.18,1.33,0
91,Clouds,broken clouds,33.28,831.45,83,5.73,0,0
92,Clear,clear sky,24.64,993.08,70,3.6,0,0
93,Clouds,overcast clouds,33.91,959.28,97,2.37,0,0
94,Clouds,overcast clouds,39.2,1006,86,6.93,0,0
95,Clear,clear sky,30.67,1004.59,78,2.59,0,0
96,Clouds,few clouds,41.47,712.05,38,5.17,0,0
97,Clear,clear sky,29.59,985.38,68,2.15,0,0
98,Clouds,broken clouds,35.31,807.78,57,12.55,0,0
99,Clouds,few clouds,53.35,982.06,71,14,0,0
100,Clouds,broken clouds,43.14,746.58,62,8.19,0,0
101,Clouds,few clouds,45.48,1006.13,68,16.35,0,0
102,Clear,clear sky,45.93,963.17,79,11.21,0,0
103,Clear,clear sky,23.02,984.33,67,3.15,0,0
104,Clouds,broken clouds,44.89,997.14,68,20.27,0,0
105,Rain,moderate rain,37.33,824.15,96,15.9,3.425,0
106,Clear,clear sky,79.23,986.6,50,6.73,0,0
107,Clear,clear sky,42.44,1007,74,4.7,0,0
108,Rain,light rain,43.23,835.99,83,5.95,1.145,0
109,Clear,clear sky,28.15,987.73,61,2.82,0,0
110,Rain,light rain,35.65,1003,100,3.36,{'1h': 0.2},0
111,Rain,light rain,30.49,800.56,87,2.71,0.11,0
112,Clear,clear sky,27.79,1012.86,63,1.7,0,0
113,Clouds,broken clouds,57.4,1007.67,49,8.86,0,0
114,Clear,clear sky,33.46,982.3,82,4.61,0,0
115,Clear,clear sky,50,1001,53,24.16,0,0
116,Clear,clear sky,33.12,1024,54,3.36,0,0
117,Clouds,few clouds,34.18,968.52,58,4.83,0,0
118,Clouds,few clouds,34.18,968.52,58,4.83,0,0
119,Rain,moderate rain,35.53,875.79,100,4.38,3.35,0
120,Rain,light rain,36.39,877.98,92,4.5,1.145,0
121,Rain,light rain,38.73,741.39,62,6.06,0.12,0
122,Clear,clear sky,28.51,978.25,59,1.7,0,0
123,Clear,clear sky,31.89,987.73,52,3.71,0,0
124,Clouds,scattered clouds,52.54,979.87,77,14.9,0,0
125,Clear,clear sky,45.61,959.93,71,14,0,0
126,Clear,clear sky,29.59,985.38,68,2.15,0,0
127,Rain,light rain,34.18,776.65,98,5.73,1.095,0
128,Rain,light rain,51.24,832.83,76,10.65,0.505,0
129,Rain,light rain,42.19,998.43,94,4.72,0.27,0
130,Clear,clear sky,33.82,767.98,32,7.96,0,0
131,Rain,light rain,34.41,801.86,95,7.96,2.505,0
132,Clouds,few clouds,41.47,712.05,38,5.17,0,0
133,Clouds,scattered clouds,30.22,1012.7,88,6.29,0,0
134,Clouds,scattered clouds,32.02,1012.86,95,3.6,0,0
135,Rain,light rain,42.1,935.85,100,7.18,1.33,0
136,Clouds,scattered clouds,34,985.87,55,4.38,0,0
137,Clear,clear sky,28.15,987.73,61,2.82,0,0
138,Rain,light rain,51.33,875.14,34,6.17,0.155,0
139,Clear,clear sky,37.69,1013.35,82,2.59,0,0
140,Clouds,broken clouds,44.62,993.97,70,21.05,0,0
141,Clouds,overcast clouds,34.81,867.93,87,4.61,0,0
142,Clouds,broken clouds,70.9,1016.51,67,5.17,0,0
143,Rain,light rain,31.48,821.32,83,2.59,0.43,0
144,Clouds,broken clouds,77.65,1033.78,100,15.68,0,0
145,Drizzle,light intensity drizzle,56.55,1003,30,9.17,0,0
146,Clear,clear sky,42.28,990.33,72,15.01,0,0
147,Clouds,scattered clouds,30.22,1012.7,88,6.29,0,0
148,Clouds,scattered clouds,41.04,1020,75,11.41,0,0
149,Clouds,scattered clouds,27.79,986.35,98,3.49,0,0
150,Rain,light rain,43.41,881.38,68,16.02,0.145,0
151,Clear,clear sky,33.82,767.98,32,7.96,0,0
152,Clear,clear sky,27.79,1012.86,63,1.7,0,0
153,Clear,clear sky,43.54,985.95,69,15.01,0,0
154,Clear,clear sky,39.36,991.22,75,2.48,0,0
155,Rain,moderate rain,37.24,786.54,95,2.26,3.13,0
156,Clear,clear sky,20.77,961.79,72,3.83,0,0
157,Clouds,overcast clouds,53.58,814.91,34,14.79,0,0
158,Clouds,broken clouds,40.93,895.16,69,2.15,0,0
159,Clouds,scattered clouds,77.02,953.44,27,11.21,0,0
160,Clouds,broken clouds,41.29,718.37,48,5.39,0,0
161,Clear,clear sky,29.59,985.38,68,2.15,0,0
162,Rain,light rain,37.74,847.82,76,4.05,0.41,0
163,Clear,clear sky,41.61,992.6,73,15.79,0,0
164,Clouds,scattered clouds,32.43,1010.83,91,3.15,0,0
165,Clear,clear sky,54.39,926.86,58,4.83,0,0
166,Rain,light rain,40.71,892.41,78,2.71,0.195,0
167,Clouds,broken clouds,43.72,991.95,77,20.27,0,0
168,Clouds,scattered clouds,38.19,991.54,67,11.1,0,0
169,Clouds,broken clouds,33.96,1001.43,92,10.98,0,0
170,Clouds,scattered clouds,52.54,979.87,77,14.9,0,0
171,Clear,clear sky,50.38,987.16,64,17.47,0,0
172,Clear,clear sky,31.12,1010.92,69,2.04,0,0
173,Clouds,scattered clouds,37.33,994.38,67,4.83,0,0
174,Snow,light snow,40.96,1006,86,3.15,0,0
175,Clouds,broken clouds,75.67,1006.38,75,5.17,0,0
176,Clear,clear sky,67.26,996.24,68,14.23,0,0
177,Rain,light rain,35.76,1014.32,100,4.38,0.35,0
178,Rain,light rain,33.33,1013.51,93,5.17,0.145,0
179,Rain,light rain,44.26,900.51,68,10.98,0.16,0
180,Rain,shower rain,50.94,1000,71,5.82,0,0
181,Clear,clear sky,61.59,1028.83,97,22.5,0,0
