city,state,area,time,number,lat,lon,score
Costa Mesa,California,930,7.670379343,4,33.6411316,-117.9186689,484.9825326
Brooklyn Park,Minnesota,696,11.69694322,8,45.0941315,-93.3563405,476.021803
Compton,California,930,7.835633985,4,33.8958492,-118.2200712,474.7541816
Newport Beach,California,930,7.865419477,4,33.6189101,-117.9289469,472.956339
Huntington Beach,California,930,7.898957169,4,33.660297,-117.9992265,470.9482429
New Bedford,Massachusetts,1052,22.43339505,10,41.6362152,-70.934205,468.9437323
Green Bay,Wisconsin,1153,25.36283974,10,44.519159,-88.019826,454.6020918
Long Beach,California,930,8.273026557,4,33.7700504,-118.1937395,449.6540625
Inglewood,California,930,8.46188963,4,33.9616801,-118.3531311,439.6181187
Carson,California,930,8.502431684,4,33.8316745,-118.281693,437.5218924
New Berlin,Wisconsin,904,24.98512934,12,42.9764027,-88.1084224,434.1782607
Hawthorne,California,930,8.61428633,4,33.9164032,-118.3525748,431.8407652
Torrance,California,930,8.854907629,4,33.8358492,-118.3406288,420.1060198
Lincoln,Nebraska,730,3.48911196,2,40.8257625,-96.6851982,418.4445832
Milwaukee,Wisconsin,904,26.29275969,12,43.0389025,-87.9064736,412.5850663
Santa Monica,California,930,9.252647284,4,34.0194543,-118.4911912,402.0470992
Indio,California,930,9.332878682,4,33.7205771,-116.2155619,398.590845
Santa Clarita,California,930,9.351752983,4,34.3916641,-118.542586,397.7863837
Rockford,Illinois,892,23.2779473,10,42.2711311,-89.0939952,383.1953
Vista,California,930,9.906233414,4,33.2000368,-117.2425355,375.5211335
Oceanside,California,930,9.970330415,4,33.1958696,-117.3794834,373.106993
Rochester,Minnesota,776,19.17568423,9,44.0121221,-92.4801989,364.2112539
Carlsbad,California,930,10.27937861,4,33.1580933,-117.3505939,361.8895792
San Marcos,California,930,10.41646041,4,33.1433723,-117.1661449,357.1270714
Kalamazoo,Michigan,456,7.733090903,6,42.2917069,-85.5872286,353.8041948
St. Joseph,Missouri,710,4.020049979,2,39.7674578,-94.846681,353.2294393
Escondido,California,930,10.67909979,4,33.1192068,-117.086421,348.3439683
Pittsburgh,Pennsylvania,863,25.87950229,10,40.4406248,-79.9958864,333.4685459
Simi Valley,California,690,4.180660326,2,34.2694474,-118.781482,330.0913952
Thousand Oaks,California,690,4.423232358,2,34.1705609,-118.8375937,311.9890362
Pueblo,Colorado,800,3.008178749,1,38.2544472,-104.6091409,265.9416434
Wheaton,Illinois,159,1.911675879,3,41.8661403,-88.1070127,249.5192858
Oxnard,California,690,5.649254737,2,34.1975048,-119.1770516,244.2800094
Akron,Ohio,362,8.911045626,6,41.0814447,-81.5190053,243.7424396
San Buenaventura (Ventura),California,690,5.820599556,2,34.274646,-119.2290316,237.088978
Lynchburg,Virginia,520,11.12305863,5,37.4137536,-79.1422464,233.7486555
Racine,Wisconsin,534,25.50980678,11,42.7261309,-87.7828523,230.2643862
Fayetteville,North Carolina,270,3.550767399,3,35.0526641,-78.8783585,228.1197018
Kenosha,Wisconsin,502,22.71307201,10,42.5847425,-87.8211854,221.0180991
Roanoke,Virginia,495,9.683194199,4,37.2709704,-79.9414266,204.4779811
Naperville,Illinois,159,2.411828578,3,41.7508391,-88.1535352,197.77525
St. George,Utah,600,3.089071917,1,37.0965278,-113.5684164,194.2330953
El Paso,Texas,560,2.975691848,1,31.7618778,-106.4850217,188.1915294
Aurora,Illinois,159,2.670578408,3,41.7605849,-88.3200715,178.612992
Raleigh,North Carolina,270,4.589118044,3,35.7795897,-78.6381787,176.5045031
Bolingbrook,Illinois,159,2.73453248,3,41.6986416,-88.0683955,174.435668
Cary,North Carolina,270,4.648081727,3,35.79154,-78.7811169,174.2654384
Porterville,California,450,2.654822263,1,36.06523,-119.0167679,169.5028727
Livermore,California,240,1.451209009,1,37.6818745,-121.7680088,165.3793481
Waukegan,Illinois,312,13.76732124,7,42.3636331,-87.8447938,158.636525
Evanston,Illinois,335,14.83302965,7,42.0450722,-87.6876969,158.0931243
Dayton,Ohio,264,3.39282608,2,39.7589478,-84.1916069,155.6224774
Elgin,Illinois,241,7.986273509,5,42.0354084,-88.2825668,150.8838883
Davenport,Iowa,222,4.475106218,3,41.5236437,-90.5776367,148.8232832
Pleasanton,California,240,1.634230265,1,37.6624312,-121.8746789,146.8581296
Westerville,Ohio,224,3.072350238,2,40.1261743,-82.9290696,145.8167088
Cincinnati,Ohio,264,3.661022993,2,39.1031182,-84.5120196,144.2219841
Schaumburg,Illinois,225,7.930595588,5,42.0333607,-88.0834059,141.8556762
Arlington Heights,Illinois,262,11.11318295,6,42.0883603,-87.9806265,141.4536237
Chicago,Illinois,285,12.21292117,6,41.8781136,-87.6297982,140.0156421
Milpitas,California,240,1.720450328,1,37.4323341,-121.8995741,139.4983605
Durham,North Carolina,270,5.879873851,3,35.9940329,-78.898619,137.7580575
San Jose,California,240,1.758403808,1,37.3382082,-121.8863286,136.4874205
Elmhurst,Illinois,225,8.566576719,5,41.8994744,-87.9403418,131.3243361
Fremont,California,240,1.836132232,1,37.5482697,-121.9885719,130.7095403
San Ramon,California,240,1.850329025,1,37.7799273,-121.9780153,129.7066612
Santa Clara,California,240,1.862009276,1,37.3541079,-121.9552356,128.8930206
Cicero,Illinois,235,9.135647076,5,41.8455877,-87.7539448,128.6170525
Columbus,Ohio,224,3.520304602,2,39.9611755,-82.9987942,127.2617147
Fort Wayne,Indiana,354,11.2638496,4,41.079273,-85.1393513,125.7119059
South Bend,Indiana,235,9.427709903,5,41.6763545,-86.2519898,124.6326003
Union City,California,240,1.928450711,1,37.5933918,-122.0438298,124.4522344
Gary,Indiana,285,13.79992171,6,41.5933696,-87.3464271,123.9137465
Joliet,Illinois,159,3.874594285,3,41.525031,-88.0817251,123.1096638
Hammond,Indiana,285,13.93541492,6,41.5833688,-87.5000412,122.7089405
Sunnyvale,California,240,1.98971276,1,37.36883,-122.0363496,120.6204256
Hayward,California,240,1.996998597,1,37.6688205,-122.0807964,120.1803549
Grove City,Ohio,224,3.736662294,2,39.8814519,-83.0929644,119.893093
Mountain View,California,240,2.060895853,1,37.3860517,-122.0838511,116.4542108
Concord,California,240,2.07178678,1,37.9779776,-122.0310733,115.8420366
San Leandro,California,240,2.140044376,1,37.7249296,-122.1560768,112.1472072
Cedar Rapids,Iowa,222,6.249768125,3,41.9778795,-91.6656232,106.5639535
High Point,North Carolina,297,11.15219037,4,35.9556923,-80.0053176,106.5261585
Iowa City,Iowa,222,6.262432911,3,41.6611277,-91.5301683,106.3484447
